"number","title","pageid","namespace","length","touched"
"1","International_Atomic_Time","334","","16111","20260304061710"
"2","Astronomer","580","","11023","20260302151515"
"3","Asteroid","791","","155124","20260325004030"
"4","Aries_(constellation)","798","","52989","20260117133342"
"5","Aquarius_(constellation)","799","","38497","20260327142356"
"6","Astrometry","1181","","18742","20260127065831"
"7","Astronomical_unit","1210","","52874","20260327175750"
"8","Algol","1394","","36635","20260310172345"
"9","Argo_Navis","1924","","14808","20260324055328"
"10","Andromeda_(mythology)","1925","","75925","20260322180915"
"11","Antlia","1926","","33496","20260327034848"
"12","Ara_(constellation)","1927","","30088","20260304230727"
"13","Apus","1933","","28227","20260203180343"
"14","Apparent_magnitude","1962","","69497","20260311194206"
"15","Absolute_magnitude","1963","","52235","20260322114849"
"16","Alpha_Centauri","1979","","128007","20260327041527"
"17","Astrology","2122","","133804","20260315222136"
"18","Arthur_Eddington","2274","","57361","20260221041200"
"19","Astronomical_year_numbering","2551","","10759","20260205032446"
"20","Aberration_(astronomy)","2703","","61144","20260304165657"
"21","Astrobiology","2787","","119155","20260327221538"
"22","Anthropic_principle","2792","","77859","20260325063750"
"23","Archaeoastronomy","2864","","121454","20260205033610"
"24","Arcturus","3072","","58250","20260224151805"
"25","Antares","3076","","55361","20260206021158"
"26","Aldebaran","3077","","60089","20260328013300"
"27","Altair","3078","","32009","20260317205354"
"28","Alioth","3093","","16087","20260224165209"
"29","Big_Bang","4116","","152317","20260302004523"
"30","Barnard's_Star","4196","","59099","20260318180136"
"31","Bayer_designation","4199","","16760","20260210201738"
"32","Boötes","4200","","74730","20260315010120"
"33","Black_hole","4650","","219400","20260328232053"
"34","Constellation","5267","","58156","20260313200938"
"35","STS-51-F","5285","","24234","20260303194919"
"36","Carbon_nanotube","5320","","208451","20260320121243"
"37","Physical_cosmology","5378","","77401","20260217144952"
"38","Cosmic_inflation","5382","","113388","20260320083323"
"39","Capricornus","5439","","15665","20260305024447"
"40","Comet","5962","","149736","20251227222118"
"41","Civilization_(video_game)","6259","","59627","20260303173335"
"42","Classical_element","6313","","45978","20260319040107"
"43","Fire_(classical_element)","6314","","13696","20260314031335"
"44","Air_(classical_element)","6315","","12068","20260311191431"
"45","Water_(classical_element)","6316","","6013","20260306032915"
"46","Earth_(classical_element)","6317","","7359","20260311191352"
"47","Crux","6359","","47158","20260314114312"
"48","Cetus_(constellation)","6362","","15596","20260306040932"
"49","Carina_(constellation)","6363","","19057","20260316150639"
"50","Camelopardalis","6364","","17372","20260309231239"
"51","Canis_Major","6366","","61688","20260306031746"
"52","Canis_Minor","6367","","44761","20260301182936"
"53","Centaurus","6371","","25329","20260305024515"
"54","Impact_crater","6416","","48210","20260323200609"
"55","Corona_Borealis","6420","","55812","20260202175744"
"56","Cygnus_(constellation)","6421","","54885","20260324025140"
"57","Corona_Australis","6424","","53720","20260304081453"
"58","Caelum","6432","","24854","20260305024436"
"59","Canes_Venatici","6435","","23861","20260306044238"
"60","Chamaeleon","6436","","10825","20260322142654"
"61","Chandrasekhar_limit","6813","","34681","20260221175234"
"62","Carl_Sagan","6824","","163272","20260328170235"
"63","Callisto_(mythology)","7214","","31971","20260319153947"
"64","Charles_Messier","7246","","14119","20260319034111"
"65","Hypothetical_types_of_biochemistry","7316","","83494","20260301073003"
"66","Creation_myth","7322","","44490","20260322022841"
"67","Copernican_principle","7327","","22350","20260207021939"
"68","Cosmic_microwave_background","7376","","111395","20260323183452"
"69","Cosmic_censorship_hypothesis","7609","","13664","20260123162627"
"70","Double_planet","8454","","18092","20260206073911"
"71","Dorado","8466","","15216","20260116170338"
"72","Delphinus","8471","","31941","20260305223031"
"73","Dyson_sphere","8586","","32240","20260320171655"
"74","Declination","8612","","12386","20250218113954"
"75","Dark_matter","8651","","164347","20260313110159"
"76","ΔT_(timekeeping)","8727","","20197","20260327164834"
"77","Drake_equation","8912","","77158","20260228152727"
"78","Earth","9228","","219398","20260328152918"
"79","Ecliptic","9264","","29873","20260315175539"
"80","Extraterrestrial_life","9588","","127478","20260327214910"
"81","Many-worlds_interpretation","9604","","71847","20260310214045"
"82","Extremophile","9619","","64034","20260316075238"
"83","Exoplanet","9763","","164461","20260325145253"
"84","Equuleus","9765","","12213","20260305024524"
"85","Eclipse","9770","","43356","20260314005433"
"86","Extinction_event","9813","","154069","20260327131649"
"87","Ephemeris_time","9994","","30867","20260128212601"
"88","Equinox","10100","","33901","20260328101025"
"89","Earless_seal","10500","","29031","20260325195629"
"90","Fornax","11123","","37088","20260205023220"
"91","Flamsteed_designation","11129","","9229","20251118123245"
"92","Full_moon","11432","","41146","20260225153304"
"93","Faster-than-light","11439","","68845","20260315225657"
"94","Fermi_paradox","11579","","154154","20260317084634"
"95","Galaxy_formation_and_evolution","11971","","46870","20260220225023"
"96","General_relativity","12024","","204165","20260323132306"
"97","Graviton","12100","","20411","20260309040322"
"98","Ginnungagap","12458","","9597","20250616024618"
"99","Galilean_moons","12505","","58602","20260303162427"
"100","Galaxy","12558","","162953","20260327024136"
"101","Galaxy_groups_and_clusters","12571","","13510","20251001132814"
"102","Grus_(constellation)","12572","","39931","20260301183526"
"103","Geodesy","12608","","39519","20260209035155"
"104","Grand_Unified_Theory","12610","","32534","20260222224655"
"105","Book_of_Genesis","12667","","50705","20260327055838"
"106","Giant_planet","12733","","27060","20260203033805"
"107","Globular_cluster","12866","","110811","20260227105903"
"108","Gegenschein","12903","","7662","20260213221230"
"109","Giordano_Bruno","12963","","93780","20260319082319"
"110","Hipparchus","13600","","89250","20260314114724"
"111","Hydrus","13768","","29836","20260301183733"
"112","History_of_astronomy","14021","","88831","20260306234905"
"113","Horrendous_Space_Kablooie","14222","","120","20200707012912"
"114","Holographic_principle","14286","","36292","20260310165643"
"115","Hengist_and_Horsa","14365","","42512","20260320181942"
"116","Hogmanay","14375","","33495","20260309012702"
"117","Isaac_Asimov","14573","","197340","20260327095923"
"118","Interstellar_travel","14843","","102506","20260315100307"
"119","International_Astronomical_Union","14878","","30705","20260126040546"
"120","Interstellar_cloud","14979","","7292","20260209154629"
"121","Interplanetary_spaceflight","15111","","68730","20260216034912"
"122","Johannes_Kepler","15736","","122609","20260325061239"
"123","Johann_Elert_Bode","16097","","12794","20260112080425"
"124","James_Watt","16142","","60568","20260319004608"
"125","Kuiper_belt","16796","","122018","20260314180156"
"126","Kotoamatsukami","17055","","3328","20260218172400"
"127","Kaluza–Klein_theory","17070","","53423","20260222144215"
"128","Kepler's_laws_of_planetary_motion","17553","","60640","20260328205441"
"129","Leo_(constellation)","17703","","18047","20260304204715"
"130","Libra_(constellation)","17704","","16048","20260306050423"
"131","Local_Group","18093","","58561","20260127014727"
"132","Lepus_(constellation)","18111","","9332","20251210182210"
"133","Lupus_(constellation)","18112","","14087","20260206021329"
"134","Lyra","18113","","70587","20260301183931"
"135","Lammas","18179","","21520","20260321180735"
"136","Light_pollution","18279","","157701","20260322203531"
"137","Lunar_eclipse","18298","","29407","20260318013413"
"138","Leonids","18383","","54489","20260214234645"
"139","Leda_and_the_Swan","18461","","36577","20251117224503"
"140","Human_spaceflight","18896","","115340","20260327005219"
"141","Moon","19331","","285926","20260329011812"
"142","Main_sequence","19605","","64954","20260328035249"
"143","Mercury_(planet)","19694","","159676","20260308072713"
"144","Molecular_cloud","19895","","34310","20260120163205"
"145","Microscopium","19924","","26526","20260304082247"
"146","M81_Group","19926","","11113","20260109181330"
"147","Meteorite","19937","","83403","20260327191925"
"148","M-theory","20406","","63978","20260127222350"
"149","Lunar_phase","20424","","31750","20260328123539"
"150","Metonic_cycle","20426","","17645","20260123103113"
"151","Magnetosphere","20479","","27892","20260302053522"
"152","Maeshowe","20550","","31650","20260317150548"
"153","Messier_object","20608","","63337","20250921001124"
"154","Merlin","20807","","118710","20260328145638"
"155","Mira","20880","","30962","20260324042617"
"156","Multiverse","20911","","69861","20260310150050"
"157","Neutrino","21485","","147167","20260326154849"
"158","Near-Earth_object","21626","","170590","20260208102343"
"159","Nicolas-Louis_de_Lacaille","21628","","21479","20260306100407"
"160","Nebula","21664","","21754","20260328212919"
"161","Nova","21784","","32393","20260315170947"
"162","Neutronium","21868","","9679","20260312100516"
"163","Neutron_star","21869","","123229","20260327155322"
"164","Naked_singularity","21926","","30389","20260213073743"
"165","Nutation","22094","","12680","20260323065719"
"166","Oort_cloud","22385","","66661","20260327060807"
"167","Ophiuchus","22472","","44791","20260306030522"
"168","Octans","22475","","9411","20260305024620"
"169","Olbers'_paradox","22486","","12936","20260315071927"
"170","Orbit","22498","","93442","20260314145033"
"171","Open_cluster","22669","","53947","20260312025123"
"172","Planet","22915","","204723","20260318161551"
"173","Pisces_(constellation)","23227","","29169","20260109142700"
"174","Polaris","23230","","69503","20260312191643"
"175","Parallax","23253","","24422","20260314143827"
"176","Parsec","23335","","31090","20260122221007"
"177","Panspermia","23678","","55915","20260327140451"
"178","Phrenology","23785","","62563","20260316225355"
"179","Planets_beyond_Neptune","23842","","84244","20260303160847"
"180","Plutino","23843","","13938","20260308214535"
"181","Pyxis","23984","","36583","20260304082415"
"182","Pegasus","23986","","19606","20260105164050"
"183","Puppis","23990","","10645","20251207022950"
"184","Piscis_Austrinus","23992","","25110","20260305022922"
"185","Planetary_nomenclature","24709","","43153","20260212184822"
"186","Ring_system","24718","","41268","20260123084904"
"187","Permian–Triassic_extinction_event","24749","","394252","20260327220451"
"188","Procyon","25006","","42285","20260326100853"
"189","Quasar","25239","","71552","20260314155756"
"190","Regiomontanus","25929","","19219","20260215172306"
"191","Ringworld","26052","","29223","20260309192142"
"192","Right_ascension","26073","","15745","20260321123321"
"193","Redshift","26262","","86083","20260316203711"
"194","Rigel","26463","","73791","20260323164324"
"195","Sun","26751","","180506","20260327161503"
"196","Star","26808","","151623","20260207040530"
"197","Solar_System","26903","","238198","20260321045340"
"198","Sagittarius_(constellation)","26932","","26429","20260306055116"
"199","Scorpius","26933","","16223","20260322001415"
"200","Stonehenge","27633","","150456","20260322134512"
"201","Supernova","27680","","207702","20260325133514"
"202","Satellite","27683","","71031","20260204064625"
"203","Spectroscopy","27752","","77043","20260311132832"
"204","Stellar_evolution","27980","","51210","20260221141031"
"205","Sirius","28017","","102760","20260313215947"
"206","Supercluster","28142","","21515","20260109211140"
"207","Serpens","28149","","122325","20260301184841"
"208","Search_for_extraterrestrial_intelligence","28153","","149818","20260315201129"
