Domain,Competition Level,Common Keywords,SE Keywords,Traffic,Costs,Paid Keywords
lco.global,13%,411,4.6K,9.9K,1.92K,0
esahubble.org,10%,307,7.2K,24.6K,6.45K,0
earthsky.org,9%,653,37.2K,64.1K,9.9K,0
universetoday.com,9%,711,38.7K,31.1K,3.89K,0
astro4edu.org,9%,211,2.9K,2K,315,0
astronomy.com,8%,461,22.1K,39.1K,3.4K,0
esa.int,8%,514,32.7K,55.8K,19.13K,0
space.com,7%,"1.3K",133K,259.3K,98.26K,0
skyatnightmagazine.com,6%,650,38.5K,68.6K,7.78K,0
aanda.org,5%,83,2K,670,77,0
eso.org,5%,161,6.3K,9.5K,2.06K,0
esawebb.org,5%,131,2.6K,5.7K,2.74K,0
nasa.gov,5%,"2.4K",376K,1.3M,348.22K,0
asc-csa.gc.ca,4%,132,4.2K,2K,969,0
space-facts.com,4%,119,2.6K,5.4K,282,0
atnf.csiro.au,4%,76,1.8K,18K,454,0
physicsclassroom.com,4%,202,13.6K,37.2K,2.85K,0
skyandtelescope.org,4%,111,7.7K,5.2K,1.73K,0
usno.navy.mil,4%,158,6.1K,16K,3.12K,0
usra.edu,4%,170,6.7K,12.5K,1.53K,0
kopernik.org,4%,116,627,1.9K,282,0
iop.org,3%,142,40.1K,16.5K,6.05K,0
planetary.org,3%,212,17.4K,39.3K,9.64K,0
starwalk.space,3%,166,12K,16.8K,2.87K,0
einstein-online.info,3%,59,649,616,11,0
schoolsobservatory.org,3%,115,3.1K,5.7K,879,0
theskylive.com,2%,101,17.9K,43.3K,12.32K,0
home.cern,2%,72,8.1K,27.6K,41.34K,0
symmetrymagazine.org,2%,43,924,1.7K,2.94K,0
theplanets.org,2%,69,4.9K,1.2K,135,0
physics.info,2%,78,5.1K,6.8K,217,0
astrobites.org,2%,29,1.1K,344,19,0
astrobackyard.com,2%,87,4.1K,8.3K,3.45K,0
telescope.live,2%,28,989,1K,69,0
rp-photonics.com,2%,56,1.7K,3K,2.01K,0
pa.msu.edu,2%,71,3.7K,2K,825,0
sydneycityskywatchers.org.au,2%,26,593,787,45,0
astronomycast.com,2%,24,366,289,12,0
spacecenter.org,2%,109,4.5K,6.1K,4.47K,3
aeronomie.be,1%,34,1.5K,1.8K,261,0
nrao.edu,1%,20,772,624,202,0
noirlab.edu,1%,35,2.3K,11.7K,3.97K,0
perthobservatory.com.au,1%,31,4.3K,17.7K,5.19K,0
eventhorizontelescope.org,1%,45,550,2.7K,19,0
hypertextbook.com,1%,31,3.2K,3.2K,58,0
icrar.org,1%,23,361,796,59,0
astronomynotes.com,1%,15,335,70,5,0
physlink.com,1%,21,2K,307,13,0
spacecentre.nz,1%,50,2.8K,728,51,0
spaceweatherlive.com,1%,57,4.4K,6.7K,3.76K,0
nineplanets.org,1%,40,8K,3K,373,0
photonics.com,1%,21,3.1K,1.4K,778,0
alevelphysicsnotes.com,1%,13,86,40,0,0
stardate.org,1%,21,2K,4.4K,3.33K,0
vaticanobservatory.org,1%,24,818,323,96,0
cerncourier.com,1%,16,624,451,19,0
astrotourismwa.com.au,1%,60,2K,5.8K,1.16K,0
stsci.edu,1%,38,844,2K,242,0
aps.org,1%,45,13K,6.9K,1.98K,4
starinastar.com,1%,29,400,431,0,0
philipmetzger.com,1%,36,1.4K,2.1K,128,0
britastro.org,1%,19,521,500,6,0
space.fm,1%,22,1.4K,123,0,0
spie.org,1%,16,1.1K,712,382,0
quicycle.com,1%,15,346,181,0,0
fnal.gov,1%,21,1.9K,2.3K,370,0
griffithobservatory.org,1%,48,2.6K,7.4K,5.46K,1
spaceaustralia.com,1%,29,950,603,431,0
aavso.org,1%,16,386,1K,18,0
theplanetstoday.com,1%,39,3.4K,2.8K,890,0
teachastronomy.com,1%,34,353,66,0,0
physicsoftheuniverse.com,1%,31,1.4K,2.2K,251,0
profmattstrassler.com,1%,27,983,529,40,0
aasnova.org,1%,25,966,111,0,0
azoquantum.com,1%,14,631,535,79,0
starscapes.zone,1%,19,442,677,95,0
nationalmaglab.org,1%,37,2.3K,7.4K,1.03K,0
sun.org,1%,18,637,74,1,0
nuclear-power.com,0%,15,8.2K,1.8K,153,0
cnes.fr,0%,23,1.7K,1.9K,474,0
spacescoop.org,0%,1,75,48,0,0
whitby-astronomers.com,0%,2,40,5,0,0
donnatheastronomer.com.au,0%,4,605,580,71,0
astrojolo.com,0%,1,27,2,0,0
teidebynight.com,0%,2,100,51,0,0
garyseronik.com,0%,3,29,48,23,0
space.museum,0%,1,257,611,233,0
readingfeynman.org,0%,9,183,23,0,0
