Active Galactic Nuclei	5	9
ALMA	3	7
Alternative Cosmologies	3	6
Amor Asteroids	3	6
Anaximander	2	5
Anaximenes	2	5
Angle	5	5
Anomalous Cosmic Rays	3	7
Anomalous X-Ray Pulsar	3	7
Apparent Diameter	3	6
Area	5	5
Argument of Perihelion	3	6
Ascending Node	3	6
Asymmetrical Galaxies	3	6
ATCA	2	5
Aten Asteroids	3	6
Aurora Australis %28Southern Lights%29	8	6
Aurora Borealis %28Northern Lights%29	9	6
Autumnal Equinox	6	7
Baade%27S Window	2	7
Bars	3	7
Baryonic Acoustic Oscillations	4	7
Baryonic Matter	4	7
Baseline	3	5
Be Star	3	7
Be X-Ray Binaries	3	7
Binary Mass Function	3	7
Binary Pulsars	3	7
Blackbody Radiation	6	7
Bremsstrahlung Radiation	5	7
Broadband	3	5
Butcher Oemler Effect	2	7
Callippus	2	5
Canis Major Dwarf	3	7
Celestial	4	7
Celestial Meridian	3	7
Centre of Mass	5	7
Centre of the Milky Way	6	7
Chemical Composition	4	7
Chemical Evolution	3	7
Chondrite	4	5
Classical Novae	3	7
Cluster Environment	3	7
Colour Gradients in Galaxies	2	6
Column Density	3	6
Cometary Dust Tail	3	6
Cometary Gas Tail	3	6
Cometary Hydrogen Cloud	2	6
Cometary Neutral Tail	2	6
Cometary Nucleus	3	7
Cometary Tails	4	7
Comoving Volume	4	6
Conic Sections	5	5
Coordinated Universal Time	6	6
Core Collapse Progenitors	3	7
Core Collapse Supernovae	4	8
Correlated	3	5
Cosmic Microwave Background Dipole	3	7
Cosmic Ray Energies	3	7
Cosmological Redshift	4	8
Coulomb%27S Law	5	5
Cross Staff	2	5
Dark Burst	2	7
Dark Halo	3	7
Dark Nebula	4	9
Degree %28Angular%29	6	7
Degree %28Temperature%29	6	5
Density Parameter	3	7
Density Wave Model	3	7
Descending Node	3	6
Distance	5	6
Disturbed Galaxies	3	6
Dwarf Novae	3	7
Early Black Hole Theories	3	7
Electron	7	7
Environments of Galaxies	3	7
Epoch of Recombination	3	7
Equator	4	5
European Vlbi Network	2	6
Evolution of Galaxies	4	9
Fast Fourier Transform	5	5
Fast Radio Bursts	4	7
Field Programmable Gate Array	3	5
Filters	4	6
First Quarter Moon	6	6
Fluence	3	5
Focal Length	5	5
Focal Plane	4	5
Focal Point	5	5
Friedmann Lemaitre Universe	3	7
Full Moon	9	8
Galactic Cosmic Rays	3	7
Galactic Jets	3	7
Galactic Nuclei	3	7
Galactic Sheets	2	6
Galactic Voids	3	7
Galaxy Formation	4	9
Galaxy Harassment	3	7
Galaxy Morphology	4	7
Galaxy Strangulation	2	7
Galaxy Types	4	7
Gamma-Ray Burst Afterglow	3	7
Gamma-Ray Burst Energies	2	7
Gamma-Ray Burst History	3	7
Gamma-Ray Burst Light Curves	2	7
Gamma-Ray Burst Mass Extinction	3	7
Gamma-Ray Burst Optical Transient	2	7
Gamma-Ray Burst Progenitors	3	7
Gamma-Ray Burst Types	3	7
Gas Giant Planet	5	9
Gaussian Function	5	5
Giant Pulses	2	7
Gibbous Moon	5	6
Grand Design Spiral	3	7
Gravitational Redshift	4	8
Greenwich Mean Time	6	6
Gregorian Calendar	6	6
Greisen Zatsepin Kuzmin Limit	2	7
Group Environment	3	6
Half Light Radius	3	7
Halley Type Comets	3	7
Harvard Spectral Classification	3	7
Helium	7	9
Heraclitus	2	5
Hertzsprung-Russell Diagram	6	9
Hi Cloud	2	6
Hierarchical Merging	3	7
High Mass X-Ray Binaries	3	7
High Velocity Cloud	3	7
HII Region	4	10
Hipass	2	5
History of Galaxy Classification	3	7
Horizontal Coordinate System	3	7
Hot Coronal Gas	2	7
Hubble Distance	3	7
Hypernova	4	5
Inferior Conjunction	3	6
Inferior Planet	3	6
Interstellar Absorption Lines	3	7
Interstellar Gas Cloud	3	7
Interstellar Reddening	3	7
