keyword	url	source
1 Orionis	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_O.html	NED
17 Leporis	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_L.html	NED
2 CVn Star	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_C.html	NED
2 Orionis	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_O.html	NED
2 Velorum	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_V.html#V27	NED
2001 Mars Odyssey	https://www.britannica.com/topic/2001-Mars-Odyssey	Britannica
2024 Solar Eclipse FAQ	https://www.britannica.com/topic/2024-Solar-Eclipse-FAQ	Britannica
2024 YR4	https://www.britannica.com/place/2024-YR4	Britannica
21-centimetre radiation	https://www.britannica.com/science/21-centimeter-radiation	Britannica
21-cm Radiation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_T.html	NED
2MASS	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_M.html	NED
3 Process	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_T.html#T52	NED
3-Kpc Arm	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_T.html#T54	NED
30 Doradus (NGC 2070)	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_D.html	NED
3K background radiation	https://hyperphysics.phy-astr.gsu.edu/hbase/bkg3k.html	HyperPhysics
4-kpc Arm	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_F.html#F86	NED
40 Eridani	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_E.html	NED
47 Tucanae	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_F.html#F83	NED
47 Tucanae	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_T.html#T102	NED
4N Nuclei	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_F.html#F87	NED
51 Pegasi	https://www.britannica.com/place/51-Pegasi	Britannica
51 Pegasi b	https://www.britannica.com/place/51-Pegasi-b-planet	Britannica
61 Cygni	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_C.html	NED
61 Cygni	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_S.html	NED
61 Cygni	https://www.britannica.com/place/61-Cygni	Britannica
A band	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
A Shell Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
A Star	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
A-coefficient	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
A-number	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
A-type	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
A-type Star	https://astro4edu.org/resources/glossary/term/1/	Astro4Edu
AAT	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
AB Magnitude System	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
ab Variables	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Abbot, Charles Greeley	https://www.britannica.com/biography/Charles-Greeley-Abbot	Britannica
Abelian Group	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aberration	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html	NED
Aberration, Annual	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#aa	NED
aberration, constant of	https://www.britannica.com/science/constant-of-aberration	Britannica
Aberration, Diurnal	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#ad	NED
Aberration, E-terms of	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#aet	NED
Aberration, Planetary	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#ap	NED
