keyword	url
A	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
AAT	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
A band	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
A-coefficient	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
A-number	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
A Shell Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
A Star	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
ab Variables	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
AB Magnitude System	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
ABT	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Ae or A Emission Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Am Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Ap Stars	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Abelian Group	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Aberration	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Aberration, Annual	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#aa
Aberration, Diurnal	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#ad
Aberration, E-terms of	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#aet
Aberration, Planetary	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#ap
Aberration, Secular	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html#asec
Aberration, Spherical	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Aberration, Stellar	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Aberrations	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Ablation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absolute Brightness	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absolute Luminosity	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absolute Magnitude	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absolute Space	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absolute Temperature	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absolute Unit	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absolute Zero	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorptance	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption Band	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption Coefficient	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption Edges	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption Lines	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption of Radiation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption Spectrum	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorption Trough	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Absorptivity	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Abundance	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Abundance Ratio	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Acausal Initial Conditions	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Acceleration	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Accelerator	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Accretion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Accretion Disk	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Accumulation Theory	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Achernar	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Achilles	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Achromat	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Achromatic Color	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Achromatic Lens	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Achromatic Objective	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Actinic Radiation	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Actinium	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Action	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Action-at-a-Distance	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Active Galactic Nucleus	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Active Optics	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Active Sun	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Activity	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Acuity, Visual	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Adaptive Optics	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
ADC	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
ADF	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Adhesion	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Adiabatic Change	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
Adiabatic Demagnetization	https://ned.ipac.caltech.edu/level5/Glossary/Glossary_A.html
